"年","月","日","時","分","縣市","區","死","受傷","2-30","天候","光線","道路類別","速限","道路型態","事故位置","路面鋪裝","路面狀態","路面缺陷","障礙物","視距","號誌種類","號誌動作","分向設施","快車道或一般車道間","快慢車道間","路面邊線","事故類型及型態","主要肇因","受傷程度","主要傷處","保護裝備","行動電話","當事者區分(類別)","車輛用途","當事者行動狀態","駕駛資格情形","駕駛執照種類","飲酒情形","車輛撞擊部位最初","車輛撞擊部位其他","肇事因素個別","肇事因素主要","肇事逃逸","職業","旅次目的","車種","GPS座標(緯度)","GPS座標(經度)","事故類別"
"2019","8","1","7","10","臺中市","南區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","13","23","3","10","1","1","B03","7","9","1","8","2","1","","23","23","1","5","1","B03","24.126766","120.669863","2"
"2019","8","1","7","10","臺中市","神岡區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","1","1","1","4","5","2","16","7","2","9","1","1","C03","7","7","4","8","2","14","11","7","7","1","21","1","C03","24.248505","120.696446","2"
"2019","8","1","7","15","臺中市","潭子區","0","1","0","8","1","5","40","14","7","1","5","4","5","7","4","4","9","4","4","1","5","60","3","10","4","5","H03","8","20","8","20","10","16","","60","60","1","22","8","H03","24.210666","120.707829","2"
"2019","8","1","7","35","臺中市","外埔區","0","1","0","8","1","5","40","15","9","1","5","4","5","7","4","4","10","5","5","2","17","23","2","3","1","1","B03","7","9","1","8","2","5","","23","23","1","5","1","B03","24.341953","120.636458","2"
"2019","8","1","7","45","臺中市","神岡區","0","0","0","8","","","50","","","","","","","","","","","","","","","42","","","","","B03","","","1","","2","","","42","42","1","21","","B03","24.246695","120.685408","3"
"2019","8","1","7","50","臺中市","潭子區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","7","","1","22","","B03","24.198131","120.721758","3"
"2019","8","1","7","51","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","17","","","","","B12","","","1","","2","","","17","17","1","10","","B12","24.200501","120.643828","3"
"2019","8","1","8","1","臺中市","梧棲區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","2","1","10","5","5","2","12","7","3","10","1","1","B03","7","8","1","8","4","5","","7","7","1","2","1","B03","24.264062","120.533173","2"
"2019","8","1","8","5","臺中市","大雅區","0","1","0","8","1","5","50","5","1","1","5","4","5","7","2","1","10","4","5","1","16","6","2","9","1","1","C03","7","5","1","10","2","12","","6","6","1","22","9","C03","24.216207","120.667301","2"
"2019","8","1","8","5","臺中市","神岡區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","5","4","4","2","16","25","2","7","1","1","C03","7","9","1","10","2","12","","25","25","1","21","8","C03","24.259083","120.708798","2"
"2019","8","1","8","6","臺中市","南區","0","2","0","8","1","5","50","3","1","1","5","4","5","7","1","1","10","5","5","2","16","1","2","9","1","1","C03","7","4","1","10","2","11","","1","1","1","21","1","C03","24.116948","120.668548","2"
"2019","8","1","8","9","臺中市","后里區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","4","","B03","24.325478","120.707926","4"
"2019","8","1","8","11","臺中市","南屯區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","1","4","5","2","27","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","22","9","C03","24.143194","120.602337","2"
"2019","8","1","8","13","臺中市","大里區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","1","18","42","2","9","1","1","C03","7","9","1","10","2","11","","42","42","1","4","8","C03","24.097503","120.702349","2"
"2019","8","1","8","16","臺中市","神岡區","0","1","0","8","1","5","60","4","1","1","5","4","5","7","1","1","1","4","4","1","13","16","2","8","1","1","C03","7","9","1","10","2","11","","16","16","1","21","1","C03","24.232756","120.700025","2"
"2019","8","1","8","17","臺中市","潭子區","0","1","0","8","1","5","50","14","8","1","5","4","5","7","4","4","9","4","4","2","16","6","3","10","1","1","B03","7","8","1","8","2","5","","6","6","1","22","8","B03","24.210132","120.685805","2"
"2019","8","1","8","18","臺中市","北屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","18","","1","5","","B12","24.173988","120.690766","3"
"2019","8","1","8","19","臺中市","大雅區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","","","B03","24.220411","120.657624","3"
"2019","8","1","8","20","臺中市","東區","0","1","0","8","1","5","50","14","7","1","5","4","5","7","4","4","5","4","5","2","15","26","2","8","4","5","F02","7","9","8","20","2","16","","26","26","1","22","8","F02","24.140623","120.691193","2"
"2019","8","1","8","20","臺中市","東勢區","0","1","0","8","1","5","60","4","1","1","5","4","5","7","1","1","10","5","5","2","12","17","3","10","1","1","B12","7","9","3","18","2","2","","17","17","1","7","8","B12","24.24643","120.832301","2"
"2019","8","1","8","28","臺中市","南屯區","0","1","0","8","1","5","40","3","2","1","5","4","5","7","4","4","5","5","4","2","13","44","3","10","3","4","C03","7","9","1","10","2","11","","44","44","1","22","9","C03","24.152932","120.63497","2"
"2019","8","1","8","29","臺中市","西區","0","2","0","8","1","5","50","4","1","1","5","4","5","7","1","1","5","5","5","2","16","","","","","","","","","","","","","","","","","","","","","","3"
"2019","8","1","8","29","臺中市","西區","0","2","0","8","1","5","50","4","1","1","5","4","5","7","1","1","5","5","5","2","16","6","2","9","3","4","C03","7","5","1","10","2","11","","6","6","1","21","8","C03","24.136596","120.655153","2"
"2019","8","1","8","30","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.163359","120.68488","3"
"2019","8","1","8","31","臺中市","大肚區","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","1","22","","B03","24.161286","120.573806","3"
"2019","8","1","8","33","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","C03","","","1","","1","","","23","","1","5","","C03","24.153666","120.681936","3"
"2019","8","1","8","35","臺中市","龍井區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","15","25","2","9","1","1","C03","7","9","3","18","2","12","","25","25","1","21","8","C03","24.20307","120.523394","2"
"2019","8","1","8","36","臺中市","潭子區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","9","4","4","1","16","19","2","9","1","1","C03","7","9","1","10","2","11","","44","19","1","22","8","C03","24.218583","120.708011","2"
"2019","8","1","8","38","臺中市","西區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","14","","14","6","1","5","1","C03","24.145527","120.663126","2"
"2019","8","1","8","39","臺中市","西屯區","0","1","0","8","1","8","50","14","9","1","5","4","5","7","4","4","5","4","5","2","12","17","3","10","1","1","B03","7","9","1","8","2","2","","17","17","1","22","8","B03","24.203995","120.62879","2"
"2019","8","1","8","40","臺中市","大里區","0","1","0","8","1","5","50","3","1","1","5","4","5","7","4","4","5","5","5","1","10","23","3","10","1","1","B03","7","9","1","8","2","8","","23","23","1","5","1","B03","24.082225","120.706928","2"
"2019","8","1","8","49","臺中市","南屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","","","B03","24.140405","120.644015","3"
"2019","8","1","8","56","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","9","","","","","A11","","","1","","2","","","9","9","1","","","A11","24.18225","120.642491","3"
"2019","8","1","9","0","臺中市","烏日區","0","1","0","8","1","5","40","14","9","1","5","4","5","7","4","4","10","5","5","2","11","5","3","10","1","1","B03","7","9","1","8","2","4","","5","5","1","21","8","B03","24.105259","120.632123","2"
"2019","8","1","9","6","臺中市","梧棲區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","12","","1","5","","B12","24.246079","120.547687","3"
"2019","8","1","9","8","臺中市","東區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","5","5","5","2","28","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","5","8","C03","24.135798","120.708408","2"
"2019","8","1","9","30","臺中市","北屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","5","","B03","24.174664","120.673897","3"
"2019","8","1","9","32","臺中市","烏日區","0","1","0","8","1","5","50","3","1","1","5","4","3","5","4","4","1","5","5","2","16","6","3","10","1","1","B03","7","5","1","5","2","1","","6","6","1","22","8","B03","24.105436","120.611696","2"
"2019","8","1","9","36","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B01","","","1","","2","","","23","","1","10","","B01","24.189119","120.615456","3"
"2019","8","1","9","40","臺中市","梧棲區","0","0","0","8","","","60","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","5","","B12","24.252215","120.537262","3"
"2019","8","1","9","50","臺中市","南區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","16","26","2","8","1","1","C03","7","5","1","10","2","11","","26","26","1","4","5","C03","24.120434","120.650706","2"
"2019","8","1","9","52","臺中市","西區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","5","4","5","2","13","23","3","10","3","4","C03","7","9","1","10","2","11","","23","23","1","21","8","C03","24.149137","120.661587","2"
"2019","8","1","9","56","臺中市","烏日區","0","0","0","","","","","","","","","","","","","","","","","","","44","","","","","B11","","","1","","2","","","23","44","1","","","B11","24.103036","120.622163","3"
"2019","8","1","10","20","臺中市","東區","0","0","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","12","26","3","10","1","1","B03","7","9","1","8","2","2","","26","26","1","22","8","B03","24.139946","120.690543","3"
"2019","8","1","10","41","臺中市","北屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","","","B03","24.177199","120.690217","3"
"2019","8","1","10","51","臺中市","西區","0","0","0","8","1","5","50","14","8","1","5","4","5","7","4","4","9","4","5","2","12","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.153104","120.665577","3"
"2019","8","1","10","56","臺中市","大里區","0","1","0","8","1","5","50","14","7","1","5","4","5","7","4","4","5","4","4","2","16","10","3","10","1","1","B03","7","11","1","8","2","4","","10","10","1","4","8","B03","24.12066","120.687673","2"
"2019","8","1","10","57","臺中市","西區","0","0","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","14","","3","","","","B12","","","1","","2","","","12","","1","21","","B12","24.136118","120.673631","3"
"2019","8","1","11","0","臺中市","大甲區","0","0","0","","","","","","","","","","","","","","","","","","","16","","","","","B03","","","1","","2","","","16","16","1","22","","B03","24.343922","120.617194","3"
"2019","8","1","11","0","臺中市","大甲區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","12","","1","7","","B12","24.34879","120.62239","3"
"2019","8","1","11","8","臺中市","北區","0","1","0","8","1","5","50","14","7","1","5","4","5","7","4","4","9","4","4","2","13","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","22","8","C03","24.1564","120.6813","2"
"2019","8","1","11","10","臺中市","南屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","12","","","","","B03","","","1","","2","","","12","12","1","22","","B03","24.138051","120.636888","3"
"2019","8","1","11","11","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","42","","1","22","","B03","24.175107","120.589247","3"
"2019","8","1","11","17","臺中市","大肚區","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","19","","1","18","","C03","24.153848","120.547017","3"
"2019","8","1","11","29","臺中市","清水區","0","1","0","8","1","5","40","14","9","1","5","4","5","7","4","4","10","5","5","2","17","19","3","10","1","1","B11","7","1","1","8","2","1","","19","19","1","10","1","B11","24.273365","120.561136","2"
"2019","8","1","11","30","臺中市","大里區","0","1","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","16","6","3","10","1","1","C03","7","5","1","10","2","14","","6","6","1","12","5","C03","24.094821","120.697935","2"
"2019","8","1","11","37","臺中市","東區","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","5","","B12","24.142845","120.693176","3"
"2019","8","1","11","40","臺中市","神岡區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","17","","1","21","","B12","24.268929","120.686061","3"
"2019","8","1","11","45","臺中市","烏日區","0","1","0","8","1","5","50","4","2","1","5","4","5","7","2","1","1","5","4","2","13","23","3","10","1","1","B02","7","9","1","8","2","1","","23","23","1","21","8","B02","24.110146","120.597955","2"
"2019","8","1","11","47","臺中市","西區","0","0","0","8","1","5","50","14","9","1","5","4","5","7","1","1","5","2","5","2","13","","","","","","B03","","","1","","2","","","19","","1","5","","B03","24.1427","120.674278","3"
"2019","8","1","11","50","臺中市","北屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","22","","B03","24.182033","120.721548","3"
"2019","8","1","11","50","臺中市","大雅區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","1","","","B03","24.228931","120.648176","3"
"2019","8","1","11","53","臺中市","南區","0","0","0","8","","","50","","","","","","","","","","","","","","","43","","","","","","","","","","","","","43","43","","","","","24.117406","120.664098","3"
"2019","8","1","11","58","臺中市","南屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","26","","1","","","C03","24.132855","120.649933","3"
"2019","8","1","12","4","臺中市","北區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","5","4","5","2","16","26","3","10","3","4","B03","7","11","1","8","2","4","","26","26","1","22","9","B03","24.148988","120.681751","2"
"2019","8","1","12","7","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","5","","B03","24.15367","120.688307","3"
"2019","8","1","12","18","臺中市","大雅區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","9","4","5","1","16","19","3","10","1","1","B03","7","1","1","8","2","5","","19","19","1","22","9","B03","24.213939","120.647386","2"
"2019","8","1","12","20","臺中市","大安區","0","1","0","8","1","5","50","15","9","1","5","4","1","7","4","4","4","5","5","1","13","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","9","8","C03","24.347167","120.60427","2"
"2019","8","1","12","35","臺中市","太平區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","4","3","5","1","13","38","3","10","1","1","B03","7","13","1","8","2","7","","38","38","1","5","8","B03","24.145847","120.733763","2"
"2019","8","1","12","47","臺中市","南區","0","1","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","16","6","3","10","1","1","C03","7","6","1","10","2","12","","6","6","1","5","8","C03","24.119553","120.652296","2"
"2019","8","1","12","48","臺中市","大雅區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B01","","","1","","2","","","16","","1","","","B01","24.228617","120.643923","3"
"2019","8","1","12","49","臺中市","西屯區","0","0","0","","","","","","","","","","","","","","","","","","","23","","","","","B12","","","1","","2","","","23","23","1","","","B12","24.169111","120.660361","3"
"2019","8","1","12","50","臺中市","南區","0","2","0","8","1","5","50","4","1","1","5","4","5","7","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","11","","6","6","1","22","8","C03","24.115355","120.665966","2"
"2019","8","1","12","50","臺中市","清水區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","40","","1","","","B03","24.2639933","120.5460972","3"
"2019","8","1","12","54","臺中市","南屯區","0","1","0","8","1","5","40","4","1","1","5","4","5","7","4","4","10","5","5","2","14","12","3","10","1","1","B03","7","2","1","8","2","2","","12","12","1","22","9","B03","24.12772","120.613361","2"
"2019","8","1","13","0","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","43","","1","","","C03","24.168028","120.643449","3"
"2019","8","1","13","0","臺中市","梧棲區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","1","","","B03","24.243472","120.543456","4"
"2019","8","1","13","0","臺中市","沙鹿區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","8","","1","3","","C03","24.250275","120.568467","3"
"2019","8","1","13","12","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","A12","","","1","","2","","","12","","1","22","","A12","24.160581","120.602962","3"
"2019","8","1","13","14","臺中市","南區","0","0","0","8","","","50","","","","","","","","","","","","","","","19","3","","","","B03","","","1","","2","","","19","19","","5","","B03","24.119388","120.666352","3"
"2019","8","1","13","20","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","17","","1","22","","C03","24.153015","120.6856","4"
"2019","8","1","13","23","臺中市","北屯區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B11","","","1","","2","","","42","","1","","","B11","24.161086","120.72897","3"
"2019","8","1","13","25","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","5","","B03","24.159539","120.693367","3"
"2019","8","1","13","25","臺中市","北屯區","0","1","0","8","1","5","50","14","8","1","5","4","5","7","4","4","5","4","5","2","17","23","2","9","1","1","B03","7","9","1","8","2","5","1","23","23","1","5","8","B03","24.178112","120.736349","2"
"2019","8","1","13","26","臺中市","烏日區","0","1","0","8","1","5","40","14","8","1","5","4","5","7","4","4","1","4","1","1","26","43","2","1","1","1","B12","7","9","1","8","2","5","","43","43","1","21","8","B12","24.094308","120.63597","2"
"2019","8","1","13","27","臺中市","西屯區","0","1","0","8","1","5","40","3","1","1","5","4","5","7","4","4","9","5","5","2","12","9","3","10","1","1","B03","7","6","1","8","2","2","","9","9","1","12","8","B03","24.17562","120.660176","2"
"2019","8","1","13","37","臺中市","北屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B02","","","1","","2","","","12","","1","","","B02","24.191851","120.686271","3"
"2019","8","1","13","37","臺中市","潭子區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.187201","120.702358","3"
"2019","8","1","13","45","臺中市","南屯區","0","1","0","8","1","5","50","4","7","1","5","4","5","7","1","3","5","4","4","2","18","13","2","9","1","1","C03","7","9","1","10","2","14","","13","13","1","22","8","C03","24.140038","120.621073","2"
"2019","8","1","13","45","臺中市","北屯區","0","1","0","8","1","5","50","4","2","1","5","4","5","7","4","4","5","4","5","2","13","43","2","9","1","1","C03","7","9","1","10","2","11","","43","43","1","22","8","C03","24.177821","120.735912","2"
"2019","8","1","13","45","臺中市","西屯區","0","0","0","8","","","60","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","7","","1","","","B03","24.159403","120.65555","3"
"2019","8","1","13","46","臺中市","北屯區","0","1","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","16","6","3","10","1","1","B02","7","6","1","8","2","8","","6","6","1","5","8","B02","24.189341","120.686464","2"
"2019","8","1","13","50","臺中市","神岡區","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","B11","","","1","","2","","","12","","1","21","","B11","24.249373","120.658626","3"
"2019","8","1","13","51","臺中市","西屯區","0","1","0","8","1","5","40","3","2","1","5","4","5","7","1","1","1","4","4","2","12","16","2","9","1","1","C03","7","9","1","10","2","15","","16","16","1","22","9","C03","24.162572","120.645194","2"
"2019","8","1","14","0","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.1535","120.6855","3"
"2019","8","1","14","16","臺中市","大雅區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","12","","1","","","B12","24.216971","120.666112","3"
"2019","8","1","14","18","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","12","","1","","","B03","24.157005","120.678834","3"
"2019","8","1","14","35","臺中市","西屯區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","16","","1","9","","B03","24.187272","120.620096","3"
"2019","8","1","14","35","臺中市","后里區","0","2","0","8","1","5","40","4","1","1","5","4","3","1","4","4","10","5","5","2","15","6","2","9","1","1","C03","7","9","1","10","2","12","","6","6","1","21","8","C03","24.30854","120.715861","2"
"2019","8","1","14","38","臺中市","沙鹿區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","","21","","B03","24.214879","120.570936","3"
"2019","8","1","14","50","臺中市","北區","0","1","0","8","1","5","50","4","2","1","5","4","5","7","1","1","10","5","5","2","2","23","3","10","1","4","B02","7","9","1","3","2","5","","23","23","1","21","8","B02","24.15334","120.682495","2"
"2019","8","1","14","50","臺中市","潭子區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","12","","1","22","","B12","24.201372","120.711024","3"
"2019","8","1","14","54","臺中市","北區","0","1","0","7","1","5","40","14","8","1","5","4","5","7","4","4","5","5","4","2","17","7","3","10","3","4","C03","7","8","1","10","2","15","","7","7","1","22","9","C03","24.148316","120.683608","2"
"2019","8","1","14","57","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","","","","","","B03","","","1","","2","","","23","","1","22","","B03","24.148915","120.681531","3"
"2019","8","1","15","10","臺中市","大甲區","0","1","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","16","6","3","10","1","1","B12","7","5","1","8","2","8","","6","6","1","9","8","B12","24.344518","120.626583","2"
"2019","8","1","15","11","臺中市","北屯區","0","0","0","8","1","5","50","3","1","1","5","4","5","7","1","1","10","1","5","2","16","8","3","9","1","1","C03","7","5","1","10","2","14","","8","8","1","21","8","C03","24.164784","120.697974","3"
"2019","8","1","15","17","臺中市","北區","0","0","0","8","","","50","","","","","","","","","","","","","","","23","","","","","B03","","","1","","2","","","23","23","","22","","B03","24.16462","120.68737","3"
"2019","8","1","15","28","臺中市","西屯區","0","2","0","8","1","5","40","3","1","1","5","4","5","7","4","4","10","5","5","2","17","42","2","8","1","1","C03","7","9","1","10","2","12","","42","42","1","21","8","C03","24.18385","120.607766","2"
"2019","8","1","15","31","臺中市","南區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","3","1","10","5","5","2","13","16","2","9","1","1","C03","7","9","1","10","2","11","","16","16","1","21","8","C03","24.12145","120.665612","2"
"2019","8","1","15","38","臺中市","太平區","0","0","0","6","","","50","","","","","","","","","","","","","","","","","","","","A12","","","1","","2","","","12","","1","21","","A12","24.123322","120.709783","3"
"2019","8","1","15","45","臺中市","清水區","0","1","0","8","1","5","50","14","7","1","5","4","5","7","4","4","9","4","4","2","13","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","22","8","C03","24.274801","120.571824","2"
"2019","8","1","16","0","臺中市","大里區","0","0","0","6","","","40","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","23","","1","21","","B12","24.083468","120.667801","3"
"2019","8","1","16","1","臺中市","南屯區","0","1","0","8","1","5","50","14","9","1","5","4","5","7","4","4","9","5","5","2","17","19","3","10","3","4","B11","7","1","1","8","2","1","","19","19","1","22","8","B11","24.139458","120.649342","2"
"2019","8","1","16","20","臺中市","北區","0","1","0","8","1","5","50","4","1","1","5","4","5","7","1","1","10","5","5","2","17","23","2","9","1","1","C03","7","9","1","10","2","11","","23","23","1","22","9","C03","24.157519","120.668303","2"
"2019","8","1","16","20","臺中市","神岡區","0","2","0","8","1","5","40","3","2","1","5","4","5","7","4","4","10","5","5","2","16","6","2","7","1","1","C03","7","5","1","10","2","12","","6","6","1","22","8","C03","24.248263","120.697951","2"
"2019","8","1","16","23","臺中市","太平區","0","0","0","6","","","50","","","","","","","","","","","","","","","","","","","","A11","","","1","","2","","","17","","1","21","","A11","24.128465","120.708234","3"
"2019","8","1","16","34","臺中市","太平區","0","1","0","7","1","5","50","4","1","1","4","4","5","7","1","1","10","5","5","2","16","25","2","7","1","1","B03","7","5","1","8","2","1","","25","25","1","21","8","B03","24.151799","120.715694","2"
"2019","8","1","16","34","臺中市","龍井區","0","1","0","8","1","5","50","3","1","1","5","4","5","7","4","4","10","5","5","2","12","43","3","10","1","1","B12","7","5","1","8","2","4","","43","43","1","21","8","B12","24.212346","120.549216","2"
"2019","8","1","16","36","臺中市","北屯區","0","0","0","8","","","60","","","","","","","","","","","","","","","","","","","","B12","","","1","","2","","","16","","1","","","B12","24.164114","120.71501","3"
"2019","8","1","16","38","臺中市","西屯區","0","1","0","8","1","5","50","11","9","1","5","4","5","7","4","4","5","4","5","1","29","43","2","9","3","4","C03","7","9","1","10","2","12","","43","43","1","22","9","C03","24.173651","120.598324","2"
"2019","8","1","16","40","臺中市","大雅區","0","0","0","8","","","40","","","","","","","","","","","","","","","","","","","","C03","","","1","","2","","","1","","1","21","","C03","24.224456","120.647253","3"
